Full Name,Filler Name,Short Name,Districts,Type
ulica Śródborowska,ulicy Śródborowskiej,ul. Śródborowska,Wawer,ulica
ulica Śródziemnomorska,ulicy Śródziemnomorskiej,ul. Śródziemnomorska,Mokotów,ulica
ulica Światowa,ulicy Światowej,ul. Światowa,Włochy,ulica
Plac Światowida,Placu Światowida,pl. Światowida,Białołęka,Plac
ulica Światowida,ulicy Światowida,ul. Światowida,Białołęka,ulica
ulica Świderska,ulicy Świderskiej,ul. Świderska,Białołęka,ulica
ulica Świdnicka,ulicy Świdnickiej,ul. Świdnicka,Targówek,ulica
ulica Świebodzińska,ulicy Świebodzińskiej,ul. Świebodzińska,Wawer,ulica
ulica Świecka,ulicy Świeckiej,ul. Świecka,Wawer,ulica
ulica Świeradowska,ulicy Świeradowskiej,ul. Świeradowska,Mokotów,ulica
ulica Świerkowa,ulicy Świerkowej,ul. Świerkowa,Białołęka,ulica
ulica Świerkowa,ulicy Świerkowej,ul. Świerkowa,Wesoła,ulica
ulica Świerszcza,ulicy Świerszcza,ul. Świerszcza,Włochy,ulica
ulica Świetlana,ulicy Świetlanej,ul. Świetlana,Włochy,ulica
ulica Świetlicka,ulicy Świetlickiej,ul. Świetlicka,Rembertów,ulica
ulica Świetlików,ulicy Świetlików,ul. Świetlików,Bemowo,ulica
ulica Świetlista,ulicy Świetlistej,ul. Świetlista,Włochy,ulica
ulica Świeża,ulicy Świeżej,ul. Świeża,Praga-Północ,ulica
ulica Święciańska,ulicy Święciańskiej,ul. Święciańska,Targówek,ulica
ulica Juliana Święcickiego,ulicy Juliana Święcickiego,ul. J. Święcickiego,Żoliborz,ulica
ulica Świętej Rodziny,ulicy Świętej Rodziny,ul. Świętej Rodziny,Ursus,ulica
ulica Aleksandra Świętochowskiego,ulicy Aleksandra Świętochowskiego,ul. A. Świętochowskiego,Bemowo,ulica
ulica Świętojańska,ulicy Świętojańskiej,ul. Świętojańska,Śródmieście,ulica
ulica Świętojerska,ulicy Świętojerskiej,ul. Świętojerska,Śródmieście,ulica
ulica Świętokrzyska,ulicy Świętokrzyskiej,ul. Świętokrzyska,Śródmieście,ulica
Most Świętokrzyski,Mostu Świętokrzyskiego,Most Świętokrzyski,"Praga-Północ, Śródmieście",Most
ulica Świętosławska,ulicy Świętosławskiej,ul. Świętosławska,Praga-Południe,ulica
ulica Wojciecha Świętosławskiego,ulicy Wojciecha Świętosławskiego,ul. W. Świętosławskiego,Białołęka,ulica
ulica Świtezianki,ulicy Świtezianki,ul. Świtezianki,Wawer,ulica
ulica Taborowa,ulicy Taborowej,ul. Taborowa,Ursynów,ulica
ulica Tadżycka,ulicy Tadżyckiej,ul. Tadżycka,Wawer,ulica
ulica Rabindranatha Tagore,ulicy Rabindranatha Tagore,ul. R. Tagore,Mokotów,ulica
ulica Tajemna,ulicy Tajemnej,ul. Tajemna,Białołęka,ulica
Alejka „Tajemnicze Butki”,Alejki „Tajemnicze Butki”,al. „Tajemnicze Butki”,Śródmieście,Aleja parkowa
ulica Talarowa,ulicy Talarowej,ul. Talarowa,Białołęka,ulica
ulica Tamaryszków,ulicy Tamaryszków,ul. Tamaryszków,Wawer,ulica
ulica Tamka,ulicy Tamka,ul. Tamka,Śródmieście,ulica
ulica Taneczna,ulicy Tanecznej,ul. Taneczna,Ursynów,ulica
ulica Tango,ulicy Tango,ul. Tango,Ursynów,ulica
ulica Czesława Tańskiego,ulicy Czesława Tańskiego,ul. Cz. Tańskiego,Włochy,ulica
ulica Tapetowa,ulicy Tapetowej,ul. Tapetowa,Białołęka,ulica
ulica Tapicerska,ulicy Tapicerskiej,ul. Tapicerska,Włochy,ulica
ulica Tarasowa,ulicy Tarasowej,ul. Tarasowa,Białołęka,ulica
ulica Tarchomińska,ulicy Tarchomińskiej,ul. Tarchomińska,Praga-Północ,ulica
ulica Tarczyńska,ulicy Tarczyńskiej,ul. Tarczyńska,Ochota,ulica
ulica Targowa,ulicy Targowej,ul. Targowa,"Praga-Południe, Praga-Północ",ulica
ulica Tarniny,ulicy Tarniny,ul. Tarniny,Mokotów,ulica
ulica Tarnobrzeska,ulicy Tarnobrzeskiej,ul. Tarnobrzeska,Praga-Południe,ulica
ulica Tarnogórska,ulicy Tarnogórskiej,ul. Tarnogórska,Targówek,ulica
ulica Tarnowiecka,ulicy Tarnowieckiej,ul. Tarnowiecka,Praga-Południe,ulica
Rondo Marii Tarnowskiej,Ronda Marii Tarnowskiej,Rondo M. Tarnowskiej,Włochy,Rondo
ulica Tasznikowa,ulicy Tasznikowej,ul. Tasznikowa,Wawer,ulica
ulica Taśmowa,ulicy Taśmowej,ul. Taśmowa,Mokotów,ulica
ulica Władysława Tatarkiewicza,ulicy Władysława Tatarkiewicza,ul. W. Tatarkiewicza,Praga-Południe,ulica
ulica Tatarska,ulicy Tatarskiej,ul. Tatarska,Wola,ulica
ulica Tatrzańska,ulicy Tatrzańskiej,ul. Tatrzańska,Mokotów,ulica
ulica Tawerny,ulicy Tawerny,ul. Tawerny,Mokotów,ulica
ulica Tawułkowa,ulicy Tawułkowej,ul. Tawułkowa,Wawer,ulica
ulica Tczewska,ulicy Tczewskiej,ul. Tczewska,Bielany,ulica
Plac Teatralny,Placu Teatralnego,pl. Teatralny,Śródmieście,Plac
ulica Techniczna,ulicy Technicznej,ul. Techniczna,Wawer,ulica
ulica Techników,ulicy Techników,ul. Techników,Włochy,ulica
ulica Wandy Telakowskiej,ulicy Wandy Telakowskiej,ul. W. Telakowskiej,Śródmieście,ulica
ulica Telefoniczna,ulicy Telefonicznej,ul. Telefoniczna,Bemowo,ulica
ulica Pála Telekiego,ulicy Pála Telekiego,ul. P. Telekiego,Ursynów,ulica
ulica Telewizyjna,ulicy Telewizyjnej,ul. Telewizyjna,Bemowo,ulica
ulica Leonida Teligi,ulicy Leonida Teligi,ul. L. Teligi,Ursynów,ulica
ulica Telimeny,ulicy Telimeny,ul. Telimeny,Wawer,ulica
ulica Tenisowa,ulicy Tenisowej,ul. Tenisowa,Mokotów,ulica
ulica abp. Józefa Teodorowicza,ulicy abp. Józefa Teodorowicza,ul. abp. J. Teodorowicza,Wilanów,ulica
ulica Teodozji,ulicy Teodozji,ul. Teodozji,Wesoła,ulica
ulica Teresińska,ulicy Teresińskiej,ul. Teresińska,Mokotów,ulica
ulica Terespolska,ulicy Terespolskiej,ul. Terespolska,Praga-Południe,ulica
ulica św. Teresy,ulicy św. Teresy,ul. św. Teresy,Śródmieście,ulica
ulica Włodzimierza Tetmajera,ulicy Włodzimierza Tetmajera,ul. W. Tetmajera,Białołęka,ulica
ulica Tęczowa,ulicy Tęczowej,ul. Tęczowa,Wawer,ulica
ulica Tęczowa,ulicy Tęczowej,ul. Tęczowa,Wesoła,ulica
ulica gen. Wiktora Thomméego,ulicy gen. Wiktora Thomméego,ul. gen. W. Thomméego,Bemowo,ulica
ulica Tkaczy,ulicy Tkaczy,ul. Tkaczy,Bemowo,ulica
ulica Tłomackie,ulicy Tłomackie,ul. Tłomackie,Śródmieście,ulica
ulica Tłuchowska,ulicy Tłuchowskiej,ul. Tłuchowska,Białołęka,ulica
ulica Teodora Toeplitza,ulicy Teodora Toeplitza,ul. T. Toeplitza,Żoliborz,ulica
ulica Tokarska,ulicy Tokarskiej,ul. Tokarska,Wawer,ulica
ulica Wacława Tokarza,ulicy Wacława Tokarza,ul. W. Tokarza,Targówek,ulica
ulica gen. Michała Tokarzewskiego-Karaszewicza,ulicy gen. Michała Tokarzewskiego-Karaszewicza,ul. gen. M. Tokarzewskiego-Karaszewicza,Śródmieście,ulica
ulica Lwa Tołstoja,ulicy Lwa Tołstoja,ul. L. Tołstoja,Bielany,ulica
ulica Tomaszowska,ulicy Tomaszowskiej,ul. Tomaszowska,Wawer,ulica
ulica Tomcia Palucha,ulicy Tomcia Palucha,ul. Tomcia Palucha,Ursus,ulica
ulica Tomnicka,ulicy Tomnickiej,ul. Tomnicka,Włochy,ulica
ulica Topazowa,ulicy Topazowej,ul. Topazowa,Targówek,ulica
ulica Topazowa,ulicy Topazowej,ul. Topazowa,Wesoła,ulica
ulica Topiel,ulicy Topiel,ul. Topiel,Śródmieście,ulica
ulica Topograficzna,ulicy Topograficznej,ul. Topograficzna,Rembertów,ulica
ulica Topolowa,ulicy Topolowej,ul. Topolowa,Białołęka,ulica
ulica Topolowa,ulicy Topolowej,ul. Topolowa,Wesoła,ulica
ulica Toporczyków,ulicy Toporczyków,ul. Toporczyków,Białołęka,ulica
ulica Toporowska,ulicy Toporowskiej,ul. Toporowska,Rembertów,ulica
ulica Torfowa,ulicy Torfowej,ul. Torfowa,Targówek,ulica
ulica Torfowa,ulicy Torfowej,ul. Torfowa,Wesoła,ulica
ulica Torowa,ulicy Torowej,ul. Torowa,Wawer,ulica
ulica Toruńska,ulicy Toruńskiej,ul. Toruńska,"Białołęka, Praga-Północ, Targówek",ulica
ulica Towarowa,ulicy Towarowej,ul. Towarowa,Wola,ulica
ulica Traczy,ulicy Traczy,ul. Traczy,Rembertów,ulica
ulica Traktorzystki,ulicy Traktorzystki,ul. Traktorzystki,Wola,ulica
ulica Traktorzystów,ulicy Traktorzystów,ul. Traktorzystów,Ursus,ulica
ulica Tramblanki,ulicy Tramblanki,ul. Tramblanki,Ursynów,ulica
ulica Tramwajowa,ulicy Tramwajowej,ul. Tramwajowa,Wesoła,ulica
ulica Transportowców,ulicy Transportowców,ul. Transportowców,Ursynów,ulica
ulica Trapez,ulicy Trapez,ul. Trapez,Włochy,ulica
ulica Traszki,ulicy Traszki,ul. Traszki,Białołęka,ulica
ulica Romualda Traugutta,ulicy Romualda Traugutta,ul. R. Traugutta,Śródmieście,ulica
ulica Trawiasta,ulicy Trawiastej,ul. Trawiasta,Wawer,ulica
ulica Mikołaja Trąby,ulicy Mikołaja Trąby,ul. M. Trąby,Białołęka,ulica
ulica Trele,ulicy Trele,ul. Trele,Ursynów,ulica
ulica Trembowelska,ulicy Trembowelskiej,ul. Trembowelska,Praga-Południe,ulica
ulica Trenów,ulicy Trenów,ul. Trenów,Bielany,ulica
ulica Bronisława Trentowskiego,ulicy Bronisława Trentowskiego,ul. B. Trentowskiego,Żoliborz,ulica
ulica Trębacka,ulicy Trębackiej,ul. Trębacka,Śródmieście,ulica
ulica Tristana,ulicy Tristana,ul. Tristana,Targówek,ulica
ulica Trocinowa,ulicy Trocinowej,ul. Trocinowa,Wawer,ulica
ulica Trocka,ulicy Trockiej,ul. Trocka,Targówek,ulica
ulica Trojaka,ulicy Trojaka,ul. Trojaka,Żoliborz,ulica
ulica Trojanowska,ulicy Trojanowskiej,ul. Trojanowska,Targówek,ulica
ulica Trojańska,ulicy Trojańskiej,ul. Trojańska,Włochy,ulica
ulica Trombity,ulicy Trombity,ul. Trombity,Ursynów,ulica
ulica Trójpolowa,ulicy Trójpolowej,ul. Trójpolowa,Wilanów,ulica
ulica ks. Zygmunta Trószyńskiego,ulicy ks. Zygmunta Trószyńskiego,ul. ks. Z. Trószyńskiego,Żoliborz,ulica
ulica Trufle,ulicy Trufle,ul. Trufle,Ursynów,ulica
ulica Truskawiecka,ulicy Truskawieckiej,ul. Truskawiecka,Mokotów,ulica
ulica Truskawkowa,ulicy Truskawkowej,ul. Truskawkowa,Białołęka,ulica
ulica Truskolaska,ulicy Truskolaskiej,ul. Truskolaska,Wawer,ulica
ulica Trybunalska,ulicy Trybunalskiej,ul. Trybunalska,Ochota,ulica
ulica Trylogii,ulicy Trylogii,ul. Trylogii,Bielany,ulica
Plac Trynopolski,Placu Trynopolskiego,pl. Trynopolski,Targówek,Plac
ulica Trzcinowa,ulicy Trzcinowej,ul. Trzcinowa,Włochy,ulica
ulica Trzebnicka,ulicy Trzebnickiej,ul. Trzebnicka,Wawer,ulica
ulica Trzech Budrysów,ulicy Trzech Budrysów,ul. Trzech Budrysów,Ochota,ulica
Plac Trzech Krzyży,Placu Trzech Krzyży,pl. Trzech Krzyży,Śródmieście,Plac
ulica Trzos,ulicy Trzos,ul. Trzos,Włochy,ulica
ulica Trzykrotki,ulicy Trzykrotki,ul. Trzykrotki,Wawer,ulica
ulica Tuberozy,ulicy Tuberozy,ul. Tuberozy,Wawer,ulica
ulica Tuchlińska,ulicy Tuchlińskiej,ul. Tuchlińska,Mokotów,ulica
ulica Tucholska,ulicy Tucholskiej,ul. Tucholska,Żoliborz,ulica
ulica Tukana,ulicy Tukana,ul. Tukana,Ursynów,ulica
ulica Tulipanowa,ulicy Tulipanowej,ul. Tulipanowa,Wawer,ulica
Plac Tulipanów,Placu Tulipanów,pl. Tulipanów,Targówek,Plac
ulica Tułowicka,ulicy Tułowickiej,ul. Tułowicka,Bielany,ulica
ulica Tumska,ulicy Tumskiej,ul. Tumska,Włochy,ulica
ulica Tunelowa,ulicy Tunelowej,ul. Tunelowa,Wola,ulica
ulica Turbinowa,ulicy Turbinowej,ul. Turbinowa,Praga-Południe,ulica
ulica Turecka,ulicy Tureckiej,ul. Turecka,Mokotów,ulica
ulica Turkawki,ulicy Turkawki,ul. Turkawki,Ursynów,ulica
ulica Turkusowa,ulicy Turkusowej,ul. Turkusowa,Wawer,ulica
ulica Turkusowa,ulicy Turkusowej,ul. Turkusowa,Wesoła,ulica
ulica Turmoncka,ulicy Turmonckiej,ul. Turmoncka,Targówek,ulica
ulica Turniejowa,ulicy Turniejowej,ul. Turniejowa,Wawer,ulica
Rondo Jerzego Turowicza,Ronda Jerzego Turowicza,Rondo J. Turowicza,Żoliborz,Rondo
ulica Turystyczna,ulicy Turystycznej,ul. Turystyczna,Mokotów,ulica
ulica Juliana Tuwima,ulicy Juliana Tuwima,ul. J. Tuwima,Śródmieście,ulica
ulica Juliana Tuwima,ulicy Juliana Tuwima,ul. J. Tuwima,Wesoła,ulica
ulica Tuzinowa,ulicy Tuzinowej,ul. Tuzinowa,"Mokotów, Wilanów",ulica
ulica Tużycka,ulicy Tużyckiej,ul. Tużycka,Targówek,ulica
ulica Twarda,ulicy Twardej,ul. Twarda,"Śródmieście, Wola",ulica
ulica Twardowska,ulicy Twardowskiej,ul. Twardowska,Bielany,ulica
ulica Samuela Twardowskiego,ulicy Samuela Twardowskiego,ul. S. Twardowskiego,Żoliborz,ulica
ulica Twórcza,ulicy Twórczej,ul. Twórcza,Białołęka,ulica
Rondo Tybetu,Ronda Tybetu,Rondo Tybetu,Wola,Rondo
ulica Tykocińska,ulicy Tykocińskiej,ul. Tykocińska,Targówek,ulica
ulica Tylna,ulicy Tylnej,ul. Tylna,Wola,ulica
ulica Tylżycka,ulicy Tylżyckiej,ul. Tylżycka,Żoliborz,ulica
ulica Tymiankowa,ulicy Tymiankowej,ul. Tymiankowa,Targówek,ulica
ulica Tymiankowa,ulicy Tymiankowej,ul. Tymiankowa,Wesoła,ulica
ulica Tymotki,ulicy Tymotki,ul. Tymotki,Białołęka,ulica
ulica Tyniecka,ulicy Tynieckiej,ul. Tyniecka,Mokotów,ulica
ulica Tynkarska,ulicy Tynkarskiej,ul. Tynkarska,Włochy,ulica
Pasaż Leopolda Tyrmanda,Pasażu Leopolda Tyrmanda,Pasaż L. Tyrmanda,Śródmieście,Pasaż
ulica Tyrolska,ulicy Tyrolskiej,ul. Tyrolska,Ursynów,ulica
ulica Tyrreńska,ulicy Tyrreńskiej,ul. Tyrreńska,Mokotów,ulica
Aleja Tysiąclecia,Alei Tysiąclecia,al. Tysiąclecia,Praga-Północ,Aleja
ulica Eustachego Tyszkiewicza,ulicy Eustachego Tyszkiewicza,ul. E. Tyszkiewicza,Wola,ulica
ulica Tyszowiecka,ulicy Tyszowieckiej,ul. Tyszowiecka,Wawer,ulica
ulica Tyśmienicka,ulicy Tyśmienickiej,ul. Tyśmienicka,Praga-Południe,ulica
ulica Tytoniowa,ulicy Tytoniowej,ul. Tytoniowa,Wawer,ulica
ulica Tytułowa,ulicy Tytułowej,ul. Tytułowa,Bielany,ulica
ulica Uczniowska,ulicy Uczniowskiej,ul. Uczniowska,Białołęka,ulica
ulica Uczonych,ulicy Uczonych,ul. Uczonych,Ursynów,ulica
ulica Ugorek,ulicy Ugorek,ul. Ugorek,Białołęka,ulica
ulica Uhrocie,ulicy Uhrocie,ul. Uhrocie,Ursynów,ulica
Aleje Ujazdowskie,Alej Ujazdowskich,Al. Ujazdowskie,Śródmieście,Aleje
ulica Ukośna,ulicy Ukośnej,ul. Ukośna,Wawer,ulica
ulica Ukryta,ulicy Ukrytej,ul. Ukryta,Mokotów,ulica
ulica Ukryty Raj,ulicy Ukryty Raj,ul. Ukryty Raj,Mokotów,ulica
ulica Ulanowska,ulicy Ulanowskiej,ul. Ulanowska,Wawer,ulica
ulica Ulrychowska,ulicy Ulrychowskiej,ul. Ulrychowska,Wola,ulica
ulica Ulubiona,ulicy Ulubionej,ul. Ulubiona,Wilanów,ulica
ulica Ułanów Krechowieckich,ulicy Ułanów Krechowieckich,ul. Ułanów Krechowieckich,Wawer,ulica
ulica Ułańska,ulicy Ułańskiej,ul. Ułańska,Rembertów,ulica
ulica Ułańska,ulicy Ułańskiej,ul. Ułańska,Wesoła,ulica
ulica Władysława Umińskiego,ulicy Władysława Umińskiego,ul. W. Umińskiego,Praga-Południe,ulica
ulica Umowna,ulicy Umownej,ul. Umowna,Wawer,ulica
ulica Antoniego Uniechowskiego,ulicy Antoniego Uniechowskiego,ul. A. Uniechowskiego,Mokotów,ulica
ulica Uniejowska,ulicy Uniejowskiej,ul. Uniejowska,Bemowo,ulica
Rondo Unii Europejskiej,Ronda Unii Europejskiej,Rondo UE,Mokotów,Rondo
Plac Unii Lubelskiej,Placu Unii Lubelskiej,pl. Unii Lubelskiej,Śródmieście,Plac
ulica Uniwersału,ulicy Uniwersału,ul. Uniwersału,Białołęka,ulica
ulica Uniwersytecka,ulicy Uniwersyteckiej,ul. Uniwersytecka,Ochota,ulica
ulica Uprawna,ulicy Uprawnej,ul. Uprawna,Wilanów,ulica
ulica Uranowa,ulicy Uranowej,ul. Uranowa,Targówek,ulica
ulica Urbanistów,ulicy Urbanistów,ul. Urbanistów,Ochota,ulica
ulica Gen. Witolda Urbanowicza,ulicy Gen. Witolda Urbanowicza,ul. gen. W. Urbanowicza,Bemowo,ulica
ulica Urle,ulicy Urle,ul. Urle,Mokotów,ulica
ulica Urocza,ulicy Uroczej,ul. Urocza,Wawer,ulica
ulica Urocza,ulicy Uroczej,ul. Urocza,Wesoła,ulica
ulica Uroczysko,ulicy Uroczysko,ul. Uroczysko,Targówek,ulica
ulica Urodzajna,ulicy Urodzajnej,ul. Urodzajna,Wilanów,ulica
ulica Ursynowska,ulicy Ursynowskiej,ul. Ursynowska,Mokotów,ulica
Pasaż Ursynowski,Pasażu Ursynowskiego,Pasaż Ursynowski,Ursynów,Pasaż
ulica Urszuli,ulicy Urszuli,ul. Urszuli,Włochy,ulica
ulica św. Urszuli Ledóchowskiej,ulicy św. Urszuli Ledóchowskiej,ul. św. Urszuli Ledóchowskiej,Wilanów,ulica
ulica Urugwajska,ulicy Urugwajskiej,ul. Urugwajska,Praga-Południe,ulica
ulica Urwisko,ulicy Urwisko,ul. Urwisko,Ursynów,ulica
ulica Urzędnicza,ulicy Urzędniczej,ul. Urzędnicza,Żoliborz,ulica
ulica Ustronie,ulicy Ustronie,ul. Ustronie,Ursynów,ulica
ulica Ustronna,ulicy Ustronnej,ul. Ustronna,Targówek,ulica
ulica Ustrzycka,ulicy Ustrzyckiej,ul. Ustrzycka,Włochy,ulica
ulica Usypiskowa,ulicy Usypiskowej,ul. Usypiskowa,Ochota,ulica
ulica Uśmiech,ulicy Uśmiech,ul. Uśmiech,Włochy,ulica
ulica Utrata,ulicy Utrata,ul. Utrata,Targówek,ulica
ulica Uzdowska,ulicy Uzdowskiej,ul. Uzdowska,Białołęka,ulica
ulica Uznamska,ulicy Uznamskiej,ul. Uznamska,Targówek,ulica
ulica Vincenta van Gogha,ulicy Vincenta van Gogha,ul. V. van Gogha,Białołęka,ulica
Pasaż ks. Bela Vargi,Pasażu ks. Bela Vargi,Pasaż ks. B. Vargi,Białołęka,Pasaż
ulica Giuseppe Verdiego,ulicy Giuseppe Verdiego,ul. G. Verdiego,Białołęka,ulica
ulica Villardczyków,ulicy Villardczyków,ul. Villardczyków,Ursynów,ulica
ulica Antonia Vivaldiego,ulicy Antonia Vivaldiego,ul. A. Vivaldiego,Białołęka,ulica
ulica Zygmunta Vogla,ulicy Zygmunta Vogla,ul. Z. Vogla,Wilanów,ulica
ulica Wadowicka,ulicy Wadowickiej,ul. Wadowicka,Białołęka,ulica
ulica Waflowa,ulicy Waflowej,ul. Waflowa,Wilanów,ulica
ulica Wagonowa,ulicy Wagonowej,ul. Wagonowa,Włochy,ulica
ulica Wahadło,ulicy Wahadło,ul. Wahadło,Ochota,ulica
ulica Wakacyjna,ulicy Wakacyjnej,ul. Wakacyjna,Wawer,ulica
ulica Waksmundzka,ulicy Waksmundzkiej,ul. Waksmundzka,Ursynów,ulica
ulica Walcownicza,ulicy Walcowniczej,ul. Walcownicza,Wawer,ulica
ulica Walczyka,ulicy Walczyka,ul. Walczyka,Ursynów,ulica
ulica Jerzego Waldorffa,ulicy Jerzego Waldorffa,ul. J. Waldorffa,Bemowo,ulica
ulica Walecznych,ulicy Walecznych,ul. Walecznych,Praga-Południe,ulica
ulica Walewska,ulicy Walewskiej,ul. Walewska,Praga-Południe,ulica
ulica Waliców,ulicy Waliców,ul. Waliców,Wola,ulica
ulica Waligóry,ulicy Waligóry,ul. Waligóry,Białołęka,ulica
ulica Raoula Wallenberga,ulicy Raoula Wallenberga,ul. R. Wallenberga,Śródmieście,ulica
ulica Wallenroda,ulicy Wallenroda,ul. Wallenroda,Targówek,ulica
Rondo Wallów,Ronda Wallów,Rondo Wallów,Ursus,Rondo
ulica Wał Kościuszkowski,ulicy Wał Kościuszkowski,ul. Wał Kościuszkowski,Rembertów,ulica
ulica Wał Miedzeszyński,ulicy Wał Miedzeszyński,ul. Wał Miedzeszyński,"Praga-Południe, Wawer",ulica
ulica Wał Zawadowski,ulicy Wał Zawadowski,ul. Wał Zawadowski,"Mokotów, Wilanów",ulica
ulica Wałbrzyska,ulicy Wałbrzyskiej,ul. Wałbrzyska,Mokotów,ulica
ulica Wałowa,ulicy Wałowej,ul. Wałowa,Śródmieście,ulica
ulica Wałowicka,ulicy Wałowickiej,ul. Wałowicka,Włochy,ulica
ulica Wałuszewska,ulicy Wałuszewskiej,ul. Wałuszewska,Białołęka,ulica
ulica Wandy,ulicy Wandy,ul. Wandy,Praga-Południe,ulica
ulica Waniliowa,ulicy Waniliowej,ul. Waniliowa,Wilanów,ulica
ulica Wantule,ulicy Wantule,ul. Wantule,Ursynów,ulica
ulica Melchiora Wańkowicza,ulicy Melchiora Wańkowicza,ul. M. Wańkowicza,Ursynów,ulica
ulica Wapienna,ulicy Wapiennej,ul. Wapienna,Wawer,ulica
ulica Wapienna,ulicy Wapiennej,ul. Wapienna,Wesoła,ulica
ulica Bernarda Wapowskiego,ulicy Bernarda Wapowskiego,ul. B. Wapowskiego,Ursus,ulica
ulica Edwarda Warchałowskiego,ulicy Edwarda Warchałowskiego,ul. E. Warchałowskiego,Ursynów,ulica
ulica Warecka,ulicy Wareckiej,ul. Warecka,Śródmieście,ulica
ulica Warmińska,ulicy Warmińskiej,ul. Warmińska,Białołęka,ulica
ulica Warneńska,ulicy Warneńskiej,ul. Warneńska,Mokotów,ulica
ulica Warowna,ulicy Warownej,ul. Warowna,Mokotów,ulica
ulica Warsa,ulicy Warsa,ul. Warsa,Targówek,ulica
ulica Warszawska,ulicy Warszawskiej,ul. Warszawska,Ursus,ulica
ulica Warszawska,ulicy Warszawskiej,ul. Warszawska,Wesoła,ulica
ulica Krzysztofa Warszewickiego,ulicy Krzysztofa Warszewickiego,ul. K. Warszewickiego,Ochota,ulica
ulica Warsztatowa,ulicy Warsztatowej,ul. Warsztatowa,Wawer,ulica
ulica Wartka,ulicy Wartkiej,ul. Wartka,Białołęka,ulica
ulica Ludwika Waryńskiego,ulicy Ludwika Waryńskiego,ul. L. Waryńskiego,"Mokotów, Śródmieście",ulica
ulica Warzelnicza,ulicy Warzelniczej,ul. Warzelnicza,Białołęka,ulica
ulica Wasilkowska,ulicy Wasilkowskiej,ul. Wasilkowska,Wawer,ulica
ulica Jana Wasilkowskiego,ulicy Jana Wasilkowskiego,ul. J. Wasilkowskiego,Ursynów,ulica
ulica Zbigniewa Wasiutyńskiego,ulicy Zbigniewa Wasiutyńskiego,ul. Z. Wasiutyńskiego,Mokotów,ulica
ulica Aleksandra Waszkowskiego,ulicy Aleksandra Waszkowskiego,ul. A. Waszkowskiego,Mokotów,ulica
Aleja Jerzego Waszyngtona,Alei Jerzego Waszyngtona,al. J. Waszyngtona,Praga-Południe,Aleja
Rondo Jerzego Waszyngtona,Ronda Jerzego Waszyngtona,Rondo J. Waszyngtona,Praga-Południe,Rondo
ulica Hipolita Wawelberga,ulicy Hipolita Wawelberga,ul. H. Wawelberga,Wola,ulica
ulica Wawelska,ulicy Wawelskiej,ul. Wawelska,Ochota,ulica
ulica Wawerska,ulicy Wawerskiej,ul. Wawerska,Praga-Południe,ulica
ulica Wawerska,ulicy Wawerskiej,ul. Wawerska,Wesoła,ulica
ulica Wawrzynowa,ulicy Wawrzynowej,ul. Wawrzynowa,Wawer,ulica
ulica Ludwiki Wawrzyńskiej,ulicy Ludwiki Wawrzyńskiej,ul. L. Wawrzyńskiej,Żoliborz,ulica
ulica Wawrzyszewska,ulicy Wawrzyszewskiej,ul. Wawrzyszewska,Wola,ulica
ulica Wazów,ulicy Wazów,ul. Wazów,Bielany,ulica
ulica Wąbrzeska,ulicy Wąbrzeskiej,ul. Wąbrzeska,Wawer,ulica
ulica Wąchocka,ulicy Wąchockiej,ul. Wąchocka,Praga-Południe,ulica
ulica Wągrowiecka,ulicy Wągrowieckiej,ul. Wągrowiecka,Wawer,ulica
ulica Wąska,ulicy Wąskiej,ul. Wąska,Białołęka,ulica
ulica Wąska,ulicy Wąskiej,ul. Wąska,Wesoła,ulica
ulica Wąski Dunaj,ulicy Wąski Dunaj,ul. Wąski Dunaj,Śródmieście,ulica
Rondo Wąskotorówki,Ronda Wąskotorówki,Rondo Wąskotorówki,Wawer,Rondo
ulica Wąwolnicka,ulicy Wąwolnickiej,ul. Wąwolnicka,Praga-Południe,ulica
ulica Wąwozowa,ulicy Wąwozowej,ul. Wąwozowa,Ursynów,ulica
ulica Wczasowa,ulicy Wczasowej,ul. Wczasowa,Wesoła,ulica
ulica Wczele,ulicy Wczele,ul. Wczele,Białołęka,ulica
Rondo Jana Webera,Ronda Jana Webera,Rondo J. Webera,Ursynów,Rondo
Aleja Emila Wedla,Alei Emila Wedla,al. E. Wedla,Praga-Południe,Aleja parkowa
ulica Wejherowska,ulicy Wejherowskiej,ul. Wejherowska,Targówek,ulica
ulica Aleksandra Wejnerta,ulicy Aleksandra Wejnerta,ul. A. Wejnerta,Mokotów,ulica
ulica Welurowa,ulicy Welurowej,ul. Welurowa,Ursynów,ulica
ulica Wełniana,ulicy Wełnianej,ul. Wełniana,Ursynów,ulica
ulica Wenecka,ulicy Weneckiej,ul. Wenecka,Białołęka,ulica
ulica Wenedów,ulicy Wenedów,ul. Wenedów,Śródmieście,ulica
ulica Werandowa,ulicy Werandowej,ul. Werandowa,Białołęka,ulica
ulica Werbeny,ulicy Werbeny,ul. Werbeny,"Wawer, miasto Józefów",ulica
ulica Wergiliusza,ulicy Wergiliusza,ul. Wergiliusza,Bielany,ulica
ulica Wernyhory,ulicy Wernyhory,ul. Wernyhory,Mokotów,ulica
ulica Wersalska,ulicy Wersalskiej,ul. Wersalska,Praga-Południe,ulica
ulica Weselna,ulicy Weselnej,ul. Weselna,Wawer,ulica
